codigo,secao,tematica,pergunta,respostas
3.1,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Você faz parte de alguma Associação de pescadores/marisqueiras ou Colônias de Pesca ou sindicato ?,Sim; Não; não sei responder; Trabalho e renda familiar
3.2,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Há quanto tempo pesca?,menos de 1 ano; entre 1 e 4 anos; entre 5 e 10 anos; mais de 10 anos
3.3,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,"Além da pesca e da mariscagem, desenvolve alguma outra atividade produtiva para uso próprio?",extrativismo vegetal para uso próprio (que tira os produtos vegetais das matas); cultivos para consumo próprio; fabrica petrechos de pesca ou artesanatos para uso próprio; somente pesca ou mariscagem; outros [texto]
3.4,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Todos da família trabalham com a pesca?,Sim; não
3.5,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Quem é o principal responsável pela renda da família?,"Eu mesmo(a); Companheiro/companheira/esposo/esposa; filhos/filhas; Avôs/avós; Outro parente (pai, mãe, irmãos); A renda é dividida igualmente entre todos da casa"
3.6,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,"Como é a renda média mensal da família UNICAMENTE com os produtos da pesca, em SM? (SM de referência: R$1.621,00)",Menos de 1; Entre 1 e 2; Entre 2 e 5; Mais de 5; Prefiro não responder
3.7,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Como fica a renda mensal da família com a suspensão da pesca e pagamento do Seguro Defeso?,aumenta um pouco; mantém igual; diminui um pouco; cai pela metade; cai mais da metade; prefiro não responder
3.8,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Que atividades você realiza na pesca artesanal?,pesca [abre questões específicas] (3.9 a 3.13); coleta/cata [abre questões específicas] (3.9 a 3.13); beneficia [abre questões específicas] (3.14 a 3.15)
3.9,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Onde costuma pescar?,"mar aberto; barra; rio; praia; mangue; represa, lago, açude; outras (texto)"
3.10,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Usa embarcação?,sim [ ] não
3.11,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Quanto tempo costuma ficar na embarcação durante a pesca?,"1 dia (vai e volta, ou seja, não pernoita na embarcação); até 3 dias; até 5 dias; até 10 dias; mais de 10 dias"
3.12,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Quais apetrechos usa?,tarrafa; linha; vara/molinete; espinhel; rede de espera/rede de emalhar; armadilhas/gaiolas/iscas; curral de pesca; cerco
3.13,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,O que usa para cozinhar quando embarcado?,carvão na lata; botijão de gás; lenha; outros [texto]
3.14,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Como beneficia os produtos? (preparo para consumo ou conservação),"evisceração (retirar vísceras/órgãos internos); remoção de guelras e escamas; filetagem ou corte; remoção de casca, espinhos, pele e outras partes; cozimento; salga; outros [texto]"
3.15,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,"Se usa fogão no beneficiamento, como funciona?",botijão de gás; lenha; outros; não se aplica
3.16,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,"Se você vende seus produtos, de que modo(s) você costuma fazer?","Não se aplica; Direto para a comunidade (moradores, vizinhos, outros pescadores); Direto para mercados, peixarias locais, restaurantes; Direto para turistas; Para Associações e Colônias; Para atravessadores; Via Política Pública (PAA, PNAE); Outros"
3.17,SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Em que condições você vende os alimentos que produz?,"in natura (cru, fresco, sem cozimento); processado minimamente (eviscerado, fermentado, descascado, que ainda não está pronto para consumo); produto pronto (ex.: moqueca congelada, peixe cozido, kibe de peixe, etc.)"
3.18 (a),SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Quanto tempo de trabalho você dedica normalmente para a pesca durante o mês?,Quase todo o tempo de trabalho do mês (de 22 a 28 dias); Grande parte do tempo de trabalho do mês (até 22 dias); Metade do tempo de trabalho do mês (até 15 dias); Menor parte do tempo de trabalho do mês (até 10 dias); outros: [texto]
3.18 (b),SEÇÃO 3 - ORGANIZAÇÃO DO TRABALHO,Organização do trabalho,Quanto tempo de trabalho você dedica normalmente para o beneficiamento durante o mês?,Quase todo o tempo de trabalho do mês (de 22 a 28 dias); Grande parte do tempo de trabalho do mês (até 22 dias); Metade do tempo de trabalho do mês (até 15 dias); Menor parte do tempo de trabalho do mês (até 10 dias); outros: [texto]

