codigo,secao,tematica,pergunta,respostas
4.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você considera a pesca artesanal uma atividade perigosa?,Não; Um pouco perigosa; Muito perigosa
4.2,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você trabalha exposto(a) ao sol?,Nunca; Raramente; Às vezes; Frequentemente; Sempre
4.2.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Em qual horário você costuma ficar exposto ao sol,até as 10 horas da manhã; entre 10 da manhã e meio dia; entre o meio dia e 14 horas; entre 14 e 16 horas; depois das 16 horas
4.3,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Sobre a iluminação pelo sol, quais problemas você identifica","Não identifico problemas; Identifico problemas com muita iluminação e os reflexos na água e/ou na areia atrapalham a visão, causando fadiga ou desconforto; Identifico pouca iluminação, prejudicando a visibilidade"
4.3.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você utiliza algum instrumento ou estratégia para saber quais momentos do dia o sol está menos forte para realizar seu trabalho para realizar seu trabalho?,Não; Utilizo de saberes e conhecimentos populares; Utilizo o Monitor IBUTG desenvolvido pela Fundacentro; Me guio apenas pela temperatura; Olho aplicativos e/ou informativos/jornais com a previsão do tempo
4.4,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Caso realize suas atividades no período da noite, quais instrumentos você utiliza para ajudar na iluminação?",vela; lanterna; lampião; lamparina; todos; outros; não se aplica
4.5,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Durante o trabalho, você fica no frio, em onda forte, correnteza, ventos fortes ou chuva?",Nunca; Raramente; Às vezes; Frequentemente; Sempre
4.6,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Você trabalha com o corpo dentro da água (no mar, rio, estuário) ou do mangue? Se sim, qual parte do seu corpo fica a maior parte do tempo molhada ou dentro da água ou da lama?",não trabalho dentro da água ou mangue; mãos e braços; pés; até a cintura (no raso); até o pescoço (no fundo); o corpo inteiro (se mergulha)
4.7,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você convive com barulhos ou ruídos no ambiente de trabalho?,Nunca; Raramente; Às vezes; Frequentemente; Sempre
4.8,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Você tem contato com combustíveis, óleos ou produtos químicos usados na manutenção de barcos e motores? ( ) Nunca",Raramente; Às vezes; Frequentemente; Sempre
4.9,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Alguém já te explicou se esses produtos podem fazer mal para a sua saúde? ( ) Sim,Não
4.10,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Você carrega peso durante o trabalho? Se sim, por quanto tempo?",não carrego peso; Menos de 1 hora; de 1 a 4 horas; de 4 a 6 horas; de 6 a 8 horas; de 8 a 10 horas; Mais de 10 horas
4.10.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Qual o peso médio dos objetos que você carrega (em kg)?,Menos de 1 kg; entre 1 e 3 kg; entre 3 e 5 kg; entre 5 e 7 kg; entre 7 e 10 kg; mais de 10 kg
4.10.2,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Como o carregamento é feito?,individualmente; com ajuda de outros trabalhadores; com ajuda de carrinhos de mão; com ajuda de outros instrumentos/meios
4.11,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Você trabalha curvado(a), ajoelhado(a) ou agachado(a)? Se sim, em qual posição você fica por mais tempo?",não fico nessas posições por muito tempo; de pé parado(a); de pé em movimento; sentado(a); agachado(a); coluna inclinada
4.11.2,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Faz movimentos/gestos repetitivos?,Sim; Não
4.12,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Existe risco de queda no mar/rio/lama durante a realização da atividade?,Sim; não
